Occupation,Ever been married or in union,Has an account in a bank or other financial institution,Year of first cohabitation,Religion,Current age,Age of wife/partner,Drinks wine,Region,"Have a job, but currently absent",Sex of household head,Beating justified: wife burns food,Beating justified: wife goes out without telling husband,Age in 5-year groups,Occupation (grouped),On average respondent uses daily: snuff by nose,Employment all year/seasonal,Daughters at home,Drinks other alcohol,Cohabitation duration (grouped),Years lived in place of residence,Drinks rum,Beating justified: wife argues with husband,Drinks beer,Educational level,On average respondent smokes daily: manufactured cigarettes,In the past smoked tobacco every day,Drinks Tafia/Clairin,Drinks alcohol,Country code and phase,Currently residing with wife/partner,Beating justified: wife refuses to have sex with husband,Since how many years smokes respondent,Wife justified refusing sex: husband has other women,Age of household head,Currently working,Beating justified: wife neglects the children,Drinks,index,Beating,target
Ouvrier qualifiï¿½ de type industriel,,Yes,1991.0,Catholic,42,33.0,No,Aire Metropolitaine,,Male,No,No,40-44,Skilled manual,Product not used,Seasonal,5,No,25-29,14,Yes,No,No,Primary,Product not used,,No,Hardly ever,HT7,Staying elsewhere,No,,Yes,42,Yes,No,Drinks rum,8742,No Beating,0
"Contremaitre, agent de maitrise",No,No,,Protestant/Methodist/Adventist/Jehova Witness,23,,No,Aire Metropolitaine,,Male,No,No,20-24,Professional/technical/managerial,Product not used,Occasional,0,No,Never married,10,Yes,No,Yes,Secondary,Product not used,,No,Every now and then,HT7,,No,,No,48,Yes,No,Drinks rum,8743,No Beating,0
Personnel des services directs au particulier,No,No,,Protestant/Methodist/Adventist/Jehova Witness,21,,Yes,Aire Metropolitaine,,Male,No,No,20-24,Household and domestic,Product not used,Occasional,0,No,Never married,12,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,Yes,48,Yes,No,Drinks wine,8744,No Beating,0
Ingenieur ou cadre technique d'entreprise,No,Yes,,Protestant/Methodist/Adventist/Jehova Witness,37,,No,Aire Metropolitaine,,Male,No,No,35-39,Professional/technical/managerial,Product not used,Occasional,0,Yes,Never married,Visitor,No,No,Yes,Higher,Product not used,,No,Hardly ever,HT7,,No,,Yes,43,Yes,No,Drinks other alcohol,8745,No Beating,0
Agriculteur,,No,2000.0,Protestant/Methodist/Adventist/Jehova Witness,48,36.0,No,Sud-Est,,Male,No,No,45-49,Agriculture - self employed,Product not used,All year,4,No,15-19,17,No,No,No,Primary,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,48,Yes,No,No Drinks,8746,No Beating,0
Agriculteur,,No,1982.0,Catholic,53,36.0,No,Sud-Est,,Male,No,No,50-54,Agriculture - self employed,Product not used,All year,3,No,30+,6,No,No,No,Primary,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,53,Yes,No,No Drinks,8747,No Beating,0
Agriculteur,,No,2002.0,Protestant/Methodist/Adventist/Jehova Witness,43,43.0,No,Sud-Est,,Male,No,No,40-44,Agriculture - self employed,Product not used,All year,2,No,10-14,23,No,No,No,No education,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,43,Yes,No,No Drinks,8748,No Beating,0
Agriculteur,,No,1986.0,Catholic,58,46.0,No,Sud-Est,,Male,No,No,55-59,Agriculture - self employed,Product not used,All year,0,No,30+,Always,No,No,No,No education,Product not used,,No,"No, never",HT7,Staying elsewhere,No,,No,58,Yes,No,No Drinks,8749,No Beating,0
Agriculteur,,No,2001.0,Protestant/Methodist/Adventist/Jehova Witness,31,33.0,Yes,Sud-Est,,Male,No,No,30-34,Agriculture - self employed,Product not used,All year,3,No,15-19,16,No,No,Yes,Primary,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,31,Yes,No,Drinks wine,8750,No Beating,0
Agriculteur,,No,1984.0,Catholic,52,77.0,No,Sud-Est,,Female,No,No,50-54,Agriculture - self employed,Product not used,All year,0,No,30+,11,No,No,Yes,Primary,Product not used,Yes,Yes,Every now and then,HT7,Living with him,No,,Yes,77,Yes,No,DrinksTafia/Clairin,8751,No Beating,0
Agriculteur,No,No,,Protestant/Methodist/Adventist/Jehova Witness,26,,No,Sud-Est,,Male,No,No,25-29,Agriculture - self employed,Product not used,All year,0,No,Never married,Always,No,No,No,Primary,Product not used,,No,"No, never",HT7,,No,,Yes,26,Yes,No,No Drinks,8752,No Beating,0
Agriculteur,,No,2009.0,Protestant/Methodist/Adventist/Jehova Witness,36,27.0,No,Sud-Est,,Male,No,No,35-39,Agriculture - self employed,Product not used,All year,3,No,5-9,Always,No,No,No,Primary,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,36,Yes,No,No Drinks,8753,No Beating,0
Agriculteur,,No,2014.0,Catholic,23,23.0,No,Sud-Est,,Male,No,No,20-24,Agriculture - self employed,Product not used,All year,0,No,0-4,Always,No,No,No,No education,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,23,Yes,No,No Drinks,8754,No Beating,0
Agriculteur,,Yes,1990.0,Catholic,48,46.0,No,Sud-Est,,Male,No,No,45-49,Agriculture - self employed,Product not used,All year,1,No,25-29,35,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,48,Yes,No,Drinks beer,8755,No Beating,0
Insituteur et assimilï¿½s,Formerly lived with a woman,No,2015.0,Catholic,24,,No,Sud-Est,,Male,No,No,20-24,Professional/technical/managerial,Product not used,All year,0,No,0-4,3,Yes,No,No,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,No,48,Yes,No,Drinks rum,8756,No Beating,0
Agriculteur,,No,1978.0,Protestant/Methodist/Adventist/Jehova Witness,56,60.0,No,Sud-Est,,Male,No,No,55-59,Agriculture - self employed,Product not used,All year,2,No,30+,42,No,No,Yes,No education,Product not used,,Yes,Every now and then,HT7,Living with him,No,,No,56,Yes,No,DrinksTafia/Clairin,8757,No Beating,0
Agriculteur,No,No,,Protestant/Methodist/Adventist/Jehova Witness,23,,No,Sud-Est,,Male,No,No,20-24,Agriculture - self employed,Product not used,Occasional,0,No,Never married,Always,No,No,Yes,Primary,Product not used,,No,Hardly ever,HT7,,No,,No,56,Yes,No,Drinks beer,8758,No Beating,0
Agriculteur,,No,1988.0,Catholic,52,51.0,No,Sud-Est,,Male,No,No,50-54,Agriculture - self employed,Product not used,All year,1,No,25-29,2,No,No,No,No education,Product not used,,Yes,Every day,HT7,Living with him,No,,Yes,52,Yes,No,DrinksTafia/Clairin,8759,No Beating,0
Agriculteur,No,No,,Catholic,18,,No,Sud-Est,,Male,No,No,15-19,Agriculture - self employed,Product not used,All year,0,No,Never married,Always,No,No,No,Primary,Product not used,,Yes,Hardly ever,HT7,,Yes,,No,52,Yes,No,DrinksTafia/Clairin,8760,wife refuses to have sex with husband,1
Agriculteur,,No,1983.0,Catholic,57,54.0,Yes,Sud-Est,,Male,No,No,55-59,Agriculture - self employed,Product not used,All year,0,No,30+,Always,Yes,No,Yes,No education,Product not used,,Yes,Every now and then,HT7,Living with him,No,,No,57,Yes,No,Drinks wine,8761,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,15,,No,Sud-Est,No,Male,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,No,No,No,Primary,Product not used,,No,"No, never",HT7,,No,,No,57,No,Yes,No Drinks,8762,wife neglects the children,1
Agriculteur,,No,2004.0,Protestant/Methodist/Adventist/Jehova Witness,33,24.0,No,Sud-Est,,Female,No,No,30-34,Agriculture - self employed,Product not used,All year,0,No,10-14,Always,No,No,No,Primary,Product not used,,No,"No, never",HT7,Living with him,No,,No,24,Yes,No,No Drinks,8763,No Beating,0
Ouvrier qualifiï¿½ de type industriel,,No,1998.0,Catholic,47,40.0,No,Sud-Est,,Male,No,No,45-49,Skilled manual,Product not used,Occasional,5,No,15-19,23,No,No,No,Primary,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,47,Yes,No,No Drinks,8764,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,29,,No,Nord,No,Male,No,No,25-29,Not working,Product not used,,0,No,Never married,Always,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,No,80,No,No,Drinks beer,8765,No Beating,0
Commercant et assimilï¿½,No,Yes,,Protestant/Methodist/Adventist/Jehova Witness,20,,Yes,Nord,,Male,No,No,20-24,Sales,Product not used,Occasional,0,No,Never married,7,No,No,Yes,Primary,Product not used,,No,Hardly ever,HT7,,No,,No,80,Yes,No,Drinks wine,8766,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,No,No,,Protestant/Methodist/Adventist/Jehova Witness,17,,No,Nord,,Male,No,No,15-19,Skilled manual,Product not used,Occasional,0,No,Never married,8,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,No,65,Yes,No,Drinks beer,8767,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,,No,1985.0,Protestant/Methodist/Adventist/Jehova Witness,56,51.0,No,Nord,,Male,No,No,55-59,Skilled manual,Product not used,All year,0,No,30+,Always,No,No,No,Primary,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,56,Yes,No,No Drinks,8768,No Beating,0
Insituteur et assimilï¿½s,,Yes,2015.0,Catholic,34,37.0,No,Nord,,Male,No,No,30-34,Professional/technical/managerial,Product not used,All year,1,No,0-4,2,Yes,No,Yes,Higher,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,No,34,Yes,No,Drinks rum,8769,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,,Yes,1997.0,No religion,44,39.0,No,Nord,,Male,No,No,40-44,Skilled manual,Product not used,All year,2,No,15-19,Always,No,No,No,Secondary,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,44,Yes,No,No Drinks,8770,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,,Yes,2002.0,Protestant/Methodist/Adventist/Jehova Witness,44,33.0,No,Nord,,Female,No,No,40-44,Skilled manual,Product not used,All year,3,No,10-14,Always,No,No,No,Secondary,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,33,Yes,No,No Drinks,8771,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,22,,No,Nord,No,Female,No,No,20-24,Not working,Product not used,,0,No,Never married,Always,No,No,No,Primary,Product not used,,No,"No, never",HT7,,No,,Yes,33,No,No,No Drinks,8772,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,,No,2006.0,Protestant/Methodist/Adventist/Jehova Witness,35,29.0,No,Nord,,Female,No,No,35-39,Skilled manual,Product not used,All year,4,No,10-14,Always,No,No,No,Primary,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,29,Yes,No,No Drinks,8773,No Beating,0
Policier ou militaire,,Yes,2003.0,Protestant/Methodist/Adventist/Jehova Witness,40,38.0,No,Nord,,Male,No,No,40-44,Professional/technical/managerial,Product not used,All year,1,No,10-14,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Every day,HT7,Living with him,No,,Yes,40,Yes,No,Drinks rum,8774,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,,No,2010.0,Protestant/Methodist/Adventist/Jehova Witness,48,35.0,Yes,Nord,No,Male,No,No,45-49,Skilled manual,Product not used,Seasonal,0,No,5-9,10,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,48,No,No,Drinks wine,8775,No Beating,0
Cadre de la fonction publique,No,Yes,,Protestant/Methodist/Adventist/Jehova Witness,30,,No,Nord,,Male,No,No,30-34,Professional/technical/managerial,Product not used,Seasonal,0,No,Never married,Always,No,No,No,Secondary,Product not used,,No,"No, never",HT7,,No,,Yes,29,Yes,No,No Drinks,8776,No Beating,0
Artisan,,Yes,2015.0,Protestant/Methodist/Adventist/Jehova Witness,38,29.0,No,Nord,,Male,No,No,35-39,Unskilled manual,Product not used,Seasonal,1,No,0-4,Always,Yes,No,Yes,Higher,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,38,Yes,No,Drinks rum,8777,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,,No,1990.0,Protestant/Methodist/Adventist/Jehova Witness,51,48.0,Yes,Nord,,Male,No,No,50-54,Skilled manual,Product not used,All year,2,No,25-29,Always,No,No,Yes,Primary,Product not used,,No,Hardly ever,HT7,Living with him,No,,No,51,Yes,No,Drinks wine,8778,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,No,No,,Protestant/Methodist/Adventist/Jehova Witness,17,,Yes,Nord,No,Male,No,No,15-19,Skilled manual,Product not used,Occasional,0,No,Never married,Always,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,No,51,No,No,Drinks wine,8779,No Beating,0
Employï¿½ du commerce,,Yes,2015.0,Protestant/Methodist/Adventist/Jehova Witness,33,27.0,No,Nord,,Male,No,No,30-34,Sales,Product not used,All year,1,No,0-4,Always,Yes,No,Yes,Secondary,Product not used,,No,Every now and then,HT7,Living with him,No,,No,33,Yes,No,Drinks rum,8780,No Beating,0
Cadre de la fonction publique,,Yes,2001.0,Protestant/Methodist/Adventist/Jehova Witness,46,33.0,No,Nord,,Female,No,No,45-49,Professional/technical/managerial,Product not used,All year,1,No,15-19,Always,Yes,No,Yes,Higher,Product not used,,No,Hardly ever,HT7,Living with him,No,,No,72,Yes,No,Drinks rum,8781,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,15,,No,Nord,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,No,72,No,No,Drinks beer,8782,No Beating,0
Ouvrier qualifiï¿½ de type industriel,No,Yes,,Protestant/Methodist/Adventist/Jehova Witness,21,,No,Nord,,Female,No,No,20-24,Skilled manual,Product not used,Seasonal,0,No,Never married,Always,Yes,No,Yes,Secondary,Product not used,No,No,Hardly ever,HT7,,No,,Yes,72,Yes,No,Drinks rum,8783,No Beating,0
Employï¿½ administratif du secteur privï¿½,No,Yes,,Catholic,33,,No,Aire Metropolitaine,,Male,No,No,30-34,Professional/technical/managerial,Product not used,All year,0,No,Never married,9,Yes,No,Yes,Higher,Product not used,,No,Hardly ever,HT7,,No,,Yes,32,Yes,No,Drinks rum,8784,No Beating,0
Not working and didn't work in last 12 months,No,Yes,,Catholic,31,,No,Aire Metropolitaine,No,Male,No,No,30-34,Not working,Product not used,,0,No,Never married,8,Yes,No,Yes,Higher,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,32,No,No,Drinks rum,8785,No Beating,0
Insituteur et assimilï¿½s,No,No,,Catholic,25,,No,Aire Metropolitaine,,Male,No,No,25-29,Professional/technical/managerial,Product not used,All year,0,No,Never married,4,Yes,No,Yes,Higher,Product not used,,No,Every now and then,HT7,,No,,Yes,32,Yes,No,Drinks rum,8786,No Beating,0
Agriculteur,No,Yes,,Catholic,23,,No,Aire Metropolitaine,No,Male,No,No,20-24,Agriculture - self employed,Product not used,Seasonal,0,No,Never married,5,No,No,Yes,Higher,Product not used,,No,Hardly ever,HT7,,No,,Yes,32,No,No,Drinks beer,8787,No Beating,0
Agriculteur,,Yes,2001.0,Catholic,44,35.0,No,Aire Metropolitaine,,Male,No,No,40-44,Agriculture - self employed,Product not used,All year,2,No,15-19,22,No,No,No,Primary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,44,Yes,No,DrinksTafia/Clairin,8788,No Beating,0
Commercant et assimilï¿½,No,No,,Catholic,54,,No,Aire Metropolitaine,,Male,No,No,50-54,Sales,Product not used,All year,0,No,Never married,20,Yes,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,No,54,Yes,No,Drinks rum,8789,No Beating,0
Personnel des services directs au particulier,No,No,,Catholic,37,,No,Aire Metropolitaine,,Female,No,No,35-39,Household and domestic,Product not used,All year,0,No,Never married,12,Yes,No,Yes,Primary,8,,Yes,Hardly ever,HT7,,No,,No,56,Yes,No,Drinks rum,8790,No Beating,0
Insituteur et assimilï¿½s,No,Yes,,No religion,32,,Yes,Aire Metropolitaine,,Female,No,No,30-34,Professional/technical/managerial,Product not used,All year,0,No,Never married,13,Yes,No,Yes,Higher,Product not used,,No,Hardly ever,HT7,,No,,Yes,56,Yes,No,Drinks wine,8791,No Beating,0
Ingenieur ou cadre technique d'entreprise,,Yes,2003.0,Catholic,40,40.0,No,Aire Metropolitaine,,Male,No,No,40-44,Professional/technical/managerial,Product not used,All year,1,Yes,10-14,5,Yes,No,Yes,Higher,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,40,Yes,No,Drinks other alcohol,8792,No Beating,0
Ouvrier qualifiï¿½ de type industriel,No,Yes,,No religion,23,,No,Aire Metropolitaine,,Male,No,No,20-24,Skilled manual,Product not used,Seasonal,0,No,Never married,3,Yes,No,Yes,Secondary,Product not used,,Yes,Every day,HT7,,No,,Yes,40,Yes,No,Drinks rum,8793,No Beating,0
Profession de l'information des arts et spectacles,No,No,,Protestant/Methodist/Adventist/Jehova Witness,27,,No,Aire Metropolitaine,,Female,No,No,25-29,Professional/technical/managerial,Product not used,All year,0,No,Never married,0,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,33,Yes,No,Drinks rum,8794,No Beating,0
Ouvrier qualifiï¿½ de type industriel,,Yes,2014.0,Protestant/Methodist/Adventist/Jehova Witness,36,27.0,No,Aire Metropolitaine,,Male,No,No,35-39,Skilled manual,Product not used,All year,0,No,0-4,3,Yes,No,Yes,Higher,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,36,Yes,No,Drinks rum,8795,No Beating,0
Technicien (sauf technicien du tertiaire),,Yes,2014.0,No religion,35,32.0,No,Aire Metropolitaine,,Male,No,No,35-39,Professional/technical/managerial,Product not used,All year,0,No,0-4,0,No,No,No,Secondary,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,35,Yes,No,No Drinks,8796,No Beating,0
Insituteur et assimilï¿½s,No,Yes,,Protestant/Methodist/Adventist/Jehova Witness,30,,Yes,Aire Metropolitaine,,Male,No,No,30-34,Professional/technical/managerial,Product not used,All year,0,No,Never married,4,Yes,No,Yes,Higher,Product not used,,No,Every now and then,HT7,,No,,Yes,31,Yes,No,Drinks wine,8797,No Beating,0
Personnel des services directs au particulier,No,No,,Protestant/Methodist/Adventist/Jehova Witness,21,,Yes,Aire Metropolitaine,No,Male,No,No,20-24,Household and domestic,Product not used,Occasional,0,Yes,Never married,2,Yes,No,Yes,Secondary,Product not used,,Yes,Every now and then,HT7,,No,,Yes,31,No,No,Drinks other alcohol,8798,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,No,No,,Protestant/Methodist/Adventist/Jehova Witness,17,,No,Aire Metropolitaine,,Female,No,No,15-19,Skilled manual,Product not used,All year,0,No,Never married,6,Yes,No,No,Primary,Product not used,,Yes,Every now and then,HT7,,No,,No,32,Yes,No,Drinks rum,8799,No Beating,0
Cadres adminsitratifs ou commercial d'entrperise,,Yes,2000.0,Protestant/Methodist/Adventist/Jehova Witness,45,42.0,No,Aire Metropolitaine,,Male,No,No,45-49,Professional/technical/managerial,Product not used,All year,1,No,15-19,16,No,No,Yes,Higher,Product not used,,No,Every day,HT7,Living with him,No,,Yes,45,Yes,No,Drinks beer,8800,No Beating,0
Insituteur et assimilï¿½s,No,Yes,,Protestant/Methodist/Adventist/Jehova Witness,33,,Yes,Aire Metropolitaine,,Male,No,No,30-34,Professional/technical/managerial,Product not used,All year,0,No,Never married,9,Yes,No,Yes,Higher,Product not used,,No,Hardly ever,HT7,,No,,Yes,32,Yes,No,Drinks wine,8801,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,No,Yes,,Protestant/Methodist/Adventist/Jehova Witness,29,,No,Aire Metropolitaine,,Male,No,No,25-29,Skilled manual,Product not used,All year,0,No,Never married,10,No,No,No,Higher,Product not used,,No,"No, never",HT7,,No,,Yes,32,Yes,No,No Drinks,8802,No Beating,0
Cadres adminsitratifs ou commercial d'entrperise,No,Yes,,Catholic,28,,Yes,Aire Metropolitaine,,Male,No,No,25-29,Professional/technical/managerial,Product not used,All year,0,No,Never married,15,Yes,No,Yes,Higher,Product not used,,No,Hardly ever,HT7,,No,,Yes,28,Yes,No,Drinks wine,8803,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,16,,Yes,Aire Metropolitaine,No,Female,No,No,15-19,Not working,Product not used,,0,Yes,Never married,Always,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,Yes,47,No,No,Drinks other alcohol,8804,No Beating,0
Technicien (sauf technicien du tertiaire),No,No,,Catholic,24,,No,Aire Metropolitaine,,Female,No,No,20-24,Professional/technical/managerial,Product not used,All year,0,No,Never married,0,Yes,No,Yes,Higher,Product not used,,No,Every day,HT7,,No,,Yes,37,Yes,No,Drinks rum,8805,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,,No,2008.0,Catholic,39,37.0,Yes,Aire Metropolitaine,,Male,No,No,35-39,Skilled manual,Product not used,All year,0,No,5-9,6,Yes,No,Yes,Secondary,Product not used,,Yes,Every now and then,HT7,Staying elsewhere,No,,Yes,38,Yes,No,Drinks wine,8806,No Beating,0
Commercant et assimilï¿½,,No,1981.0,Protestant/Methodist/Adventist/Jehova Witness,60,36.0,No,Rest-Ouest,,Male,No,No,60-64,Sales,Product not used,All year,1,No,30+,Always,No,No,Yes,Primary,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,60,Yes,No,Drinks beer,8807,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,16,,Yes,Rest-Ouest,No,Male,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,No,60,No,No,Drinks wine,8808,No Beating,0
